iter	Passed	Remaining
0	77	15433
1	112	11110
2	140	9197
3	177	8717
4	207	8100
5	247	7992
6	283	7822
7	318	7649
8	361	7675
9	397	7551
10	433	7442
11	470	7371
12	505	7268
13	551	7325
14	584	7208
15	622	7163
16	652	7024
17	683	6906
18	713	6794
19	756	6807
20	795	6783
21	836	6766
22	881	6782
23	913	6696
24	956	6693
25	1005	6726
26	1037	6648
27	1065	6543
28	1112	6557
29	1144	6486
30	1183	6451
31	1219	6400
32	1255	6354
33	1294	6322
34	1333	6287
35	1370	6242
36	1408	6203
37	1439	6137
38	1472	6077
39	1511	6044
40	1548	6006
41	1582	5952
42	1619	5914
43	1661	5890
44	1698	5849
45	1741	5829
46	1783	5806
47	1830	5795
48	1876	5781
49	1907	5723
50	1948	5693
51	1983	5645
52	2024	5614
53	2059	5567
54	2107	5557
55	2152	5535
56	2191	5498
57	2250	5510
58	2289	5470
59	2325	5426
60	2369	5399
61	2396	5334
62	2442	5311
63	2474	5258
64	2517	5227
65	2552	5181
66	2605	5171
67	2641	5127
68	2670	5070
69	2715	5043
70	2751	4999
71	2783	4949
72	2818	4903
73	2856	4863
74	2886	4811
75	2926	4775
76	2962	4732
77	2998	4690
78	3029	4640
79	3066	4599
80	3108	4567
81	3147	4528
82	3183	4487
83	3228	4458
84	3267	4420
85	3297	4370
86	3342	4341
87	3370	4289
88	3406	4248
89	3437	4201
90	3475	4163
91	3510	4120
92	3547	4081
93	3588	4046
94	3629	4012
95	3660	3965
96	3703	3932
97	3737	3890
98	3773	3849
99	3807	3807
100	3831	3755
101	3858	3706
102	3891	3664
103	3922	3620
104	3961	3584
105	3995	3543
106	4029	3501
107	4063	3461
108	4101	3424
109	4136	3384
110	4166	3341
111	4207	3305
112	4258	3278
113	4298	3242
114	4330	3200
115	4370	3164
116	4406	3126
117	4440	3085
118	4475	3046
119	4513	3008
120	4547	2969
121	4582	2929
122	4621	2892
123	4656	2853
124	4686	2811
125	4714	2768
126	4747	2728
127	4785	2692
128	4818	2652
129	4861	2617
130	4891	2576
131	4927	2538
132	4958	2497
133	4993	2459
134	5030	2422
135	5061	2381
136	5107	2348
137	5143	2311
138	5179	2272
139	5215	2235
140	5249	2196
141	5283	2158
142	5315	2118
143	5346	2079
144	5386	2043
145	5431	2009
146	5458	1968
147	5494	1930
148	5532	1893
149	5567	1855
150	5607	1819
151	5635	1779
152	5656	1737
153	5689	1699
154	5718	1660
155	5753	1622
156	5788	1585
157	5821	1547
158	5862	1511
159	5899	1474
160	5931	1436
161	5966	1399
162	5998	1361
163	6037	1325
164	6072	1288
165	6111	1251
166	6145	1214
167	6175	1176
168	6205	1138
169	6241	1101
170	6271	1063
171	6302	1025
172	6335	988
173	6364	951
174	6395	913
175	6421	875
176	6449	838
177	6474	800
178	6515	764
179	6559	728
180	6593	692
181	6621	654
182	6652	617
183	6682	581
184	6699	543
185	6733	506
186	6774	470
187	6802	434
188	6834	397
189	6862	361
190	6884	324
191	6913	288
192	6946	251
193	6984	216
194	7011	179
195	7040	143
196	7072	107
197	7112	71
198	7149	35
199	7180	0
